club,status,county,platform,sheets,postcode,reason,evidence_url
Birchwood Park,live,,esp,1,DA2 7HJ,,
Canterbury,live,,intelligent_golf,1,CT1 1TW,,
Chart Hills,live,,esp,1,TN27 8JX,,
Cinque Ports,live,,intelligent_golf,1,CT14 6RF,,
Cooden Beach,live,,intelligent_golf,1,TN39 4TR,,
Copthorne,live,,intelligent_golf,2,RH10 3LL,,
Cottesmore Golf Club,live,,esp,1,RH11 9AT,,
Crowborough,live,,intelligent_golf,1,TN6 1UJ,,
Crowborough Beacon Golf Club,live,,intelligent_golf,1,TN6 1UJ,,
Drayton Park Golf Club,live,,brs,1,OX14 4LA,,
Dukes Meadows Golf,live,,brs,1,W4 2SH,,
East Sussex National,live,,shiji,2,BN8 5ES,,
Eastbourne Downs,live,,golf_manager,1,BN20 8ES,,
Haywards Heath,live,,intelligent_golf,1,RH16 1SL,,
Horsham Golf Club,live,,intelligent_golf,1,RH13 0AX,,
Knole Park,live,,intelligent_golf,1,TN15 0HJ,,
Lamberhurst,live,,intelligent_golf,1,TN3 8DT,,
London Club,live,,esp,1,TN15 7EH,,
Mannings Heath,live,,intelligent_golf,2,RH13 6PG,,
Nizels,live,,intelligent_golf,1,TN11 8NU,,
Piltdown,live,,intelligent_golf,1,TN22 3XB,,
Poult Wood Golf Course,live,,gladstone,2,TN11 9QR,,
Prince's,live,,esp,1,CT13 9QB,,
Redlibbets,live,,golf_manager,1,TN15 7HT,,
REGC,live,,intelligent_golf,2,BN20 8BP,,
Royal Cinque Ports Golf Club,live,,intelligent_golf,1,CT14 6RF,,
Slinfold Golf & Country Club,live,,intelligent_golf,2,RH13 0RE,,
Sweetwoods,live,,esp,1,TN8 7AY,,
The Heron,live,,intelligent_golf,3,CM13 3LW,,
The Ridge,live,,intelligent_golf,1,ME17 3JB,,
West Malling,live,,intelligent_golf,2,ME19 5AR,,
Westerham,live,,esp,1,TN16 1QN,,
Wildernesse,live,,intelligent_golf,1,TN15 0JE,,
Willingdon,live,,clubv1,1,BN20 9AA,,
Woodhall Spa National Golf Centre,live,,intelligent_golf,2,LN10 6PU,,
Aylesbury Vale Golf Club,live,bedfordshire,brs,1,LU7 0UJ,,https://visitors.brsgolf.com/aylesburyvale
Bedford and County Golf Club,live,bedfordshire,intelligent_golf,1,MK41 6ET,,https://bedfordcounty.intelligentgolf.co.uk/visitorbooking/
Cainhoe Wood Golf Club,live,bedfordshire,intelligent_golf,1,SG17 5PH,,https://cainhoewood.intelligentgolf.co.uk/visitorbooking/
Leighton Buzzard Golf Club,live,bedfordshire,intelligent_golf,1,LU7 3JF,,https://www.lbgc.co.uk/visitorbooking/
South Beds Golf Club,live,bedfordshire,clubv1,1,LU2 7AE,,https://southbeds.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
The Millbrook Golf Club,live,bedfordshire,brs,1,MK45 2JB,,https://visitors.brsgolf.com/millbrook
Tilsworth Golf Course,live,bedfordshire,brs,1,LU7 9PU,,https://visitors.brsgolf.com/tilsworth
Whipsnade Park Golf Club,live,bedfordshire,brs,1,LU2 0FY,,https://visitors.brsgolf.com/whipsnadepark
Billingbear Park Golf Course,live,berkshire,brs,1,RG40 5SJ,,https://visitors.brsgolf.com/billingbearold#/course/1
Bird Hills Golf Centre,live,berkshire,intelligent_golf,1,SL6 3ST,,https://birdhills.intelligentgolf.co.uk/visitorbooking/
Calcot Park Golf Club,live,berkshire,intelligent_golf,1,RG31 7RN,,https://www.calcotpark.com/visitorbooking/
Donnington Grove Country Club,live,berkshire,brs,1,RG14 2LA,,https://visitors.brsgolf.com/donningtongrove#/course/1
Donnington Valley Golf Club,live,berkshire,intelligent_golf,1,RG14 3AG,,https://donningtonvalley.intelligentgolf.co.uk/visitorbooking/
Goring & Streatley Golf Club,live,berkshire,intelligent_golf,1,RG8 9QA,,https://goring.intelligentgolf.co.uk/visitorbooking/
Hennerton Golf Club,live,berkshire,brs,1,RG10 8LT,,https://visitors.brsgolf.com/hennerton/
Newbury & Crookham Golf Club,live,berkshire,intelligent_golf,1,RG19 8BZ,,https://newburygolf.intelligentgolf.co.uk/visitorbooking/
Richings Park Golf and Country Club,live,berkshire,intelligent_golf,1,SL0 9DL,,https://www.richingspark.co.uk/visitorbooking/
Royal Ascot Golf Club,live,berkshire,intelligent_golf,1,SL5 7LJ,,https://royalascot.intelligentgolf.co.uk/visitorbooking/
Temple Golf Course,live,berkshire,intelligent_golf,1,SL6 5LH,,https://www.templegolfclub.co.uk/visitorbooking/
The Caversham,live,berkshire,intelligent_golf,1,RG4 7UT,,https://caversham.intelligentgolf.co.uk/visitorbooking/
The Club at Mapledurham,live,berkshire,intelligent_golf,1,RG4 7UD,,https://golf.theclubatmapledurham.com/visitorbooking/
The West Berkshire Golf Club,live,berkshire,brs,1,RG20 7DU,,https://visitors.brsgolf.com/westberkshire#/course/1
Theale Golf Club,live,berkshire,brs,1,RG7 5EX,,https://visitors.brsgolf.com/theale#/course/1
Winter Hill Golf Course,live,berkshire,golf_manager,1,SL6 9RP,,https://winterhill.golfmanager.com/consumer/home
Abbey Hill Golf Centre,live,buckinghamshire,esp,1,MK8 8AA,,https://www.e-s-p.com/elitelive/book_webpromotion.php?ref=AHcrazygolf&dt=CRAZYGOLF&
Aspley Guise & Woburn Sands Golf Club,live,buckinghamshire,intelligent_golf,1,MK17 8DX,,https://aspley.intelligentgolf.co.uk/visitorbooking/
Beaconsfield Golf Club,live,buckinghamshire,intelligent_golf,1,HP9 2UR,,https://www.beaconsfieldgolfclub.co.uk/visitorbooking/
Chiltern Forest Golf Course,live,buckinghamshire,brs,1,HP22 5NQ,,https://visitors.brsgolf.com/chilternforest#/course/1
Harleyford Golf Club,live,buckinghamshire,intelligent_golf,1,SL7 2SP,,https://harleyford.intelligentgolf.co.uk/visitorbooking/
Huntswood Golf Course,live,buckinghamshire,brs,1,SL1 8LS,,https://visitors.brsgolf.com/huntswood#/course/1
Ivinghoe Golf Club,live,buckinghamshire,clubv1,1,LU7 9EF,,https://ivinghoe.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Oakland Park Golf Club,live,buckinghamshire,brs,1,HP8 4LW,,https://visitors.brsgolf.com/oaklandpark#/course/1
Three Locks Golf Club,live,buckinghamshire,brs,1,MK17 9BH,,https://visitors.brsgolf.com/threelocks#/
Wexham Park Golf Centre,live,buckinghamshire,brs,1,SL3 6LS,,https://visitors.brsgolf.com/wexhampark18#/course/1
Whiteleaf Golf Club,live,buckinghamshire,clubv1,1,HP27 0LY,,https://whiteleaf.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Wycombe Heights Golf Centre,live,buckinghamshire,esp,1,HP10 9SZ,,https://www.e-s-p.com/elitelive/book_date.php
Elton Furze Golf Club,live,cambridgeshire,clubv1,1,PE7 3TT,,https://eltonfurze.hub.clubv1.com/visitors/TeeSheet?date=2026-09-11
Ely City Golf Club,live,cambridgeshire,intelligent_golf,1,CB7 4HX,,https://www.elygolf.co.uk/visitorbooking/
March Golf Club,live,cambridgeshire,clubv1,1,PE15 0YH,,https://marchgc.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Ramsey Golf & Bowls Club,live,cambridgeshire,brs,1,PE26 1DD,,https://visitors.brsgolf.com/ramsey#/course/1
The Old Nene Golf & Country Club,live,cambridgeshire,brs,1,PE26 2XQ,,https://visitors.brsgolf.com/oldnene#/course/1
Aldersey Green Golf Club,live,cheshire,brs,2,CH3 9EH,,https://visitors.brsgolf.com/alderseygreen#/course/1
Carden Park Golf Club,live,cheshire,golf_manager,1,CH3 9DQ,,https://cardenpark.golfmanager.com/consumer/home
Congleton Golf Club,live,cheshire,brs,1,CW12 3LZ,,https://visitors.brsgolf.com/congletongc#/course/1
Crewe Golf Club,live,cheshire,clubv1,1,CW1 5TB,,https://crewe.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-12
Davenport Golf Club,live,cheshire,intelligent_golf,1,SK12 1TT,,https://davenport.intelligentgolf.co.uk/visitorbooking/
Delamere Forest Golf Club,live,cheshire,brs,1,CW8 2JE,,https://visitors.brsgolf.com/delamereforest
Helsby Golf Club,live,cheshire,clubv1,1,WA6 0JB,,https://helsby.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
High Legh Park Golf Course,live,cheshire,intelligent_golf,2,WA16 0WA,,https://golf.theclubathighleghpark.com/visitorbooking/
Knutsford Golf Club,live,cheshire,clubv1,1,WA16 6HS,,https://knutsford.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
Lymm Golf Club,live,cheshire,intelligent_golf,1,WA13 9AN,,https://www.lymmgolfclub.co.uk/visitorbooking/
Upton-by-Chester Golf Club,live,cheshire,intelligent_golf,1,CH2 1EE,,https://www.uptongolf.co.uk/visitorbooking/
Vicars Cross Golf Club,live,cheshire,brs,1,CH3 7HN,,https://visitors.brsgolf.com/vicarscross
Bowood Park Golf Course,live,cornwall,brs,1,PL32 9RG,,https://visitors.brsgolf.com/bowoodpark#/open-competitions
Bude & North Cornwall Golf Course,live,cornwall,clubv1,1,EX23 8DA,,https://budeandnorthcornwall.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Budock Vean Golf Club,live,cornwall,chronogolf,1,TR11 5LG,,https://www.chronogolf.com/en/club/19557/widget?medium=widget&source=club
Cape Cornwall Club,live,cornwall,brs,1,TR19 7NL,,https://visitors.brsgolf.com/capecornwallclub#/course/1
Lanhydrock Hotel & Golf Club,live,cornwall,brs,1,PL30 5AQ,,https://visitors.brsgolf.com/lanhydrockhotel#/course/1
Launceston Golf Club,live,cornwall,brs,1,PL15 8HF,,https://visitors.brsgolf.com/launceston#/course/1
Mawgan Porth Golf Club,live,cornwall,brs,1,TR8 4DN,,https://visitors.brsgolf.com/merlin#/course/1
Mullion Golf Course,live,cornwall,intelligent_golf,1,TR12 7BP,,https://mullion.intelligentgolf.co.uk/visitorbooking/
Newquay Golf Course,live,cornwall,intelligent_golf,1,TR7 1LT,,https://www.newquaygolfclub.co.uk/visitorbooking/
Perranporth Golf Club,live,cornwall,brs,1,TR6 0AB,,https://visitors.brsgolf.com/perranporth#/course/1
Point at Polzeath Golf Course,live,cornwall,intelligent_golf,1,PL27 6QT,,https://thepoint.intelligentgolf.co.uk/visitorbooking/
Porthpean Golf Club,live,cornwall,brs,1,PL26 6AY,,https://visitors.brsgolf.com/porthpean#/course/1
St Austell Golf Course,live,cornwall,intelligent_golf,1,PL26 7DS,,https://staustell.intelligentgolf.co.uk/visitorbooking/
St Enodoc Golf Club,live,cornwall,intelligent_golf,2,PL27 6SH,,https://stenodoc.intelligentgolf.co.uk/visitorbooking/
St. Mellion International Resort,live,cornwall,chronogolf,2,PL12 6SD,,https://www.chronogolf.com/en/club/18605/widget?medium=widget&source=club
Tehidy Park Golf Club,live,cornwall,intelligent_golf,1,TR14 0HH,,https://tehidy.intelligentgolf.co.uk/visitorbooking/
Truro Golf Club,live,cornwall,brs,1,TR1 3LG,,https://visitors.brsgolf.com/truro#/course/1
Whitsand Bay Golf Club,live,cornwall,brs,1,PL11 3BP,,https://visitors.brsgolf.com/whitsandbay#/
Alston Moor Golf Course,live,cumbria,brs,1,CA9 3DB,,https://visitors.brsgolf.com/alstonmoor#/course/1
Appleby Golf Club,live,cumbria,brs,1,CA16 6JG,,https://visitors.brsgolf.com/appleby#/course/1
Barrow Golf Club,live,cumbria,brs,1,LA14 4QT,,https://www.brsgolf.com/barrow/visitor_home.php
Brampton Golf Club,live,cumbria,intelligent_golf,1,CA8 1HN,,https://brampton.intelligentgolf.co.uk/visitorbooking/
Carlisle Golf Club,live,cumbria,clubv1,1,CA4 8AG,,https://carlisle.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
Eden Golf Club,live,cumbria,brs,2,CA6 4RA,,https://visitors.brsgolf.com/eden27#/course/1
Furness Golf Club,live,cumbria,clubv1,1,LA14 3LN,,https://furness.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
Grange Fell Golf Club,live,cumbria,brs,1,LA11 6HB,,https://visitors.brsgolf.com/grangefell?iframe=1#/course/1
Kendal Golf Club,live,cumbria,brs,1,LA9 4PQ,,https://visitors.brsgolf.com/kendal
Kirkby Lonsdale Golf Club,live,cumbria,brs,1,LA6 2LW,,https://visitors.brsgolf.com/kirkbylonsdale#/course/1
Penrith Golf Course,live,cumbria,brs,1,CA11 8SG,,https://visitors.brsgolf.com/penrith
Silloth on Solway Golf Club,live,cumbria,brs,1,CA7 4BL,,https://visitors.brsgolf.com/sillothonsolway
Windermere Golf Club,live,cumbria,brs,1,LA23 3NB,,https://visitors.brsgolf.com/windermere
Workington Golf Club,live,cumbria,clubv1,1,CA14 4SS,,https://workington.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
Alfreton Golf Club,live,derbyshire,clubv1,1,DE55 7AP,,https://alfreton.hub.clubv1.com/
Bakewell Golf Club,live,derbyshire,brs,1,DE45 1GB,,https://visitors.brsgolf.com/bakewell#/open-competitions
Bondhay Golf Club and Academy,live,derbyshire,brs,1,S80 3EH,,https://visitors.brsgolf.com/bondhay#/course/1
Chesterfield Golf Club,live,derbyshire,clubv1,1,S42 7LA,,https://chesterfield.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Hallowes Golf Club,live,derbyshire,intelligent_golf,1,S18 1UR,,https://www.hallowesgolfclub.co.uk/visitorbooking/
Mickleover Golf Course,live,derbyshire,intelligent_golf,1,DE3 9AD,,https://mickleover.intelligentgolf.co.uk/visitorbooking/
Morley Hayes,live,derbyshire,esp,1,DE7 6QA,,http://www.e-s-p.com/elitelive/book_webpromotion.php?ref=MXExecroom&
Sickleholme Golf Club,live,derbyshire,clubv1,1,S33 0BN,,https://sickleholme.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Trent Lock Golf Centre,live,derbyshire,brs,2,NG10 3AA,,https://visitors.brsgolf.com/trentlock#/course/1
Axe Cliff Golf Course,live,devon,brs,1,EX12 4AB,,https://visitors.brsgolf.com/axecliff#/course/1
Bigbury Golf Club,live,devon,intelligent_golf,1,TQ7 4BB,,https://www.bigburygolfclub.co.uk/visitorbooking/
Churston Golf Club,live,devon,intelligent_golf,1,TQ5 0LA,,https://members.churstongolf.com/visitorbooking/
Dainton Park Golf Club,live,devon,intelligent_golf,1,TQ12 5TN,,https://dainton.intelligentgolf.co.uk/visitorbooking/
Dartmouth Golf And Country Club,live,devon,intelligent_golf,2,TQ9 7FE,,https://dartmouth.intelligentgolf.co.uk/visitorbooking/
Downes Crediton Golf Club,live,devon,intelligent_golf,1,EX17 3PT,,https://www.downescreditongc.co.uk/visitorbooking/
Elfordleigh Hotel Golf & Country Club,live,devon,brs,1,PL7 5EB,,https://visitors.brsgolf.com/elfordleigh#/course/1
Exeter Golf and Country Golf Club,live,devon,intelligent_golf,1,EX2 7AE,,https://exeter.intelligentgolf.co.uk/visitorbooking/
Exminster Golf Centre,live,devon,brs,1,EX6 8GA,,https://visitors.brsgolf.com/exminster#/course/1
Holsworthy Golf Club,live,devon,brs,1,EX22 7HZ,,https://visitors.brsgolf.com/holsworthy#/course/1
Honiton Golf Club,live,devon,intelligent_golf,1,EX14 9TR,,https://www.honitongolfclub.co.uk/visitorbooking/
Illfracombe Golf Club,live,devon,brs,1,EX34 9RT,,https://www.brsgolf.com/ilfracombe/visitor_menu.php
Portmore Golf Park,live,devon,brs,1,EX32 9LB,,https://visitors.brsgolf.com/portmorebarum29#/course/1
Royal North Devon,live,devon,intelligent_golf,1,EX39 1HD,,https://www.royalnorthdevongolfclub.co.uk/visitorbooking/
Saunton Golf Course,live,devon,intelligent_golf,2,EX33 1LG,,https://www.sauntongolf.co.uk/visitorbooking/
Staddon Heights Golf Club,live,devon,brs,1,PL9 9SP,,https://visitors.brsgolf.com/staddonheights#/course/1
Stover Golf Club,live,devon,intelligent_golf,1,TQ12 6QQ,,https://stover.intelligentgolf.co.uk/visitorbooking/
Tavistock Golf Club,live,devon,intelligent_golf,1,PL19 9DZ,,https://www.tavistockgolfclub.co.uk/visitorbooking
Teignmouth Golf Course,live,devon,intelligent_golf,1,TQ14 9NY,,https://Teignmouth.intelligentgolf.co.uk/visitorbooking/
Thurlestone Hotel Golf Course,live,devon,intelligent_golf,1,TQ7 3NZ,,https://thurlestone.intelligentgolf.co.uk/visitorbooking/
Tiverton Golf Club,live,devon,intelligent_golf,1,EX16 4NE,,https://tiverton.intelligentgolf.co.uk/visitorbooking/
Torquay Golf Club,live,devon,intelligent_golf,1,TQ2 8SB,,https://www.torquaygolfclub.co.uk/visitorbooking/
Woodbury Park Hotel & Golf Club,live,devon,intelligent_golf,2,EX5 1JJ,,https://golf.woodburypark.co.uk/visitorbooking/
Yelverton Golf Club,live,devon,clubv1,1,PL20 6BY,,https://yelverton.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Ashley Wood Golf Club,live,dorset,brs,1,DT11 9HN,,https://visitors.brsgolf.com/ashleywood#/course/1
Broadstone Golf Club,live,dorset,intelligent_golf,1,BH18 8DQ,,https://broadstone.intelligentgolf.co.uk/visitorbooking/
Bulbury Woods Golf Club,live,dorset,brs,1,BH16 6HR,,https://visitors.brsgolf.com/bulburywoods#/course/1
Came Down Golf Club,live,dorset,brs,1,DT2 8NR,,https://visitors.brsgolf.com/camedown#/course/1
Christchurch Golf Club - Stour Course,live,dorset,brs,1,BH7 7ES,,https://visitors.brsgolf.com/christchurchmightyclaws#/course/1
Highcliffe Castle Golf Club,live,dorset,intelligent_golf,1,BH23 4LA,,https://www.highcliffecastlegolfclub.co.uk/visitorbooking/
Isle of Purbeck Golf Course,live,dorset,intelligent_golf,2,BH19 3AB,,https://www.purbeckgolf.co.uk/visitorbooking/
Lyme Regis Golf Club,live,dorset,brs,1,DT7 3HQ,,https://visitors.brsgolf.com/lymeregis#/course/1
Meyrick Park Golf Course,live,dorset,intelligent_golf,1,BH2 6LH,,https://golf.theclubatmeyrickpark.com/visitorbooking/
Parley Golf Centre Course,live,dorset,brs,1,BH23 6BB,,https://visitors.brsgolf.com/parley#/course/1
Queen's Park Golf Course,live,dorset,brs,1,BH8 9HA,,https://visitors.brsgolf.com/queensparkgc#/course/1
Sturminster Marshall Golf Club,live,dorset,brs,1,BH21 4BD,,https://visitors.brsgolf.com/sturminstermarshall#/course/1
Wareham Golf Club,live,dorset,clubv1,1,BH20 4DH,,https://wareham.hub.clubv1.com/visitors/TeeSheet?date=2026-09-11
Wessex Golf Centre,live,dorset,clubv1,1,DT4 9XH,,https://wessex.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Yeovil Golf Club,live,dorset,intelligent_golf,2,BA21 5BW,,https://www.yeovilgolfclub.com/visitorbooking/
Bridlington Golf Club,live,eastyorkshire,brs,1,YO15 3NG,,https://www.brsgolf.com/bridlington/members_home.php
Brough Golf Club,live,eastyorkshire,brs,1,HU15 1HB,,https://visitors.brsgolf.com/brough#/course/1
Cottingham Parks Golf and Leisure Club,live,eastyorkshire,intelligent_golf,2,HU16 5SW,,https://www.cottinghamparks.co.uk/visitorbooking/
Driffield Golf Course,live,eastyorkshire,clubv1,1,YO25 9AD,,https://533.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
Ganstead Park Golf & Events,live,eastyorkshire,brs,1,HU11 4LB,,https://visitors.brsgolf.com/gansteadpark#/course/1
Blakes Golf Course,live,essex,brs,1,CM16 6RZ,,https://visitors.brsgolf.com/blakes#/course/1
Braintree Golf Club,live,essex,intelligent_golf,1,CM77 8DD,,https://www.braintreegolfclub.co.uk/visitorbooking/
Brentwood Golf Centre at Hartswood,live,essex,brs,1,CM14 5RJ,,https://visitors.brsgolf.com/brentwood
Canons Brook Golf Course,live,essex,brs,1,CM19 5BE,,https://visitors.brsgolf.com/canonsbrook
Castle Point Golf Course,live,essex,intelligent_golf,1,SS8 9FG,,https://castlepoint.intelligentgolf.co.uk/visitorbooking/
Chigwell Golf Club,live,essex,intelligent_golf,1,IG7 5BH,,https://chigwell.intelligentgolf.co.uk/visitorbooking/
Colne Valley Golf Club,live,essex,intelligent_golf,1,CO6 2LT,,https://colnevalley.intelligentgolf.co.uk/visitorbooking/
Five Lakes,live,essex,intelligent_golf,1,CM9 8HX,,https://www.fivelakesgolfclub.co.uk/visitorbooking/
Garon Park Golf Complex,live,essex,esp,1,SS2 4FA,,https://www.e-s-p.com/elitelive/book_group.php
Golf Kingdom,live,essex,intelligent_golf,1,RM6 6SB,,https://chadwellheath.intelligentgolf.co.uk/visitorbooking/
Haverhill Golf Club,live,essex,clubv1,1,CB9 7UW,,https://haverhill.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
Ingrebourne Links Golf Course,live,essex,esp,1,RM13 9FL,,http://www.e-s-p.com/elitelive/book_date.php
Maylands Golf Club,live,essex,brs,1,RM3 0AZ,,https://visitors.brsgolf.com/maylands#/course/1
Millers Barn Golf Park,live,essex,brs,1,CO15 2GF,,https://visitors.brsgolf.com/millersbarn#/course/1
Nazeing Golf Club,live,essex,brs,1,EN9 2LW,,https://visitors.brsgolf.com/nazeing#/course/1
Notley Golf Course,live,essex,brs,1,CM8 1ST,,https://visitors.brsgolf.com/notleys#/course/1
Romford Golf Club,live,essex,intelligent_golf,1,RM2 5QB,,https://www.romfordgolfclub.com/visitorbooking/
Stapleford Abbotts Golf Course,live,essex,brs,1,RM4 1JU,,https://visitors.brsgolf.com/staplefordabbottsgc#/course/1
The Rayleigh Club,live,essex,clubv1,1,SS6 9QS,,https://therayleighclub.hub.clubv1.com/
Theydon Bois Golf Club,live,essex,intelligent_golf,1,CM16 4EH,,https://theydonbois.intelligentgolf.co.uk/visitorbooking/
Thorndon Park Golf Club,live,essex,clubv1,1,CM13 3RH,,https://thorndonpark.hub.clubv1.com/visitors/TeeSheet?date=2026-09-10
Three Rivers Golf & Country Club,live,essex,esp,1,CM3 6RR,,
Top Meadow,live,essex,clubv1,1,RM14 3PR,,https://topmeadow.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-10
Wanstead Golf Club,live,essex,brs,1,E11 2LW,,https://visitors.brsgolf.com/wanstead#/course/1
Warley Park Golf Club,live,essex,golf_manager,1,CM13 3DX,,https://warleypark.golfmanager.com/consumer/ebookings?i=1&resourcetype=100080
West Essex Golf Club,live,essex,intelligent_golf,1,E4 7QL,,https://westessex.intelligentgolf.co.uk/visitorbooking/
Woolston Manor Golf & Country Club,live,essex,brs,1,IG7 6BX,,https://visitors.brsgolf.com/woolstonmanor#/course/1
Brickhampton Court Golf Complex,live,gloucestershire,chronogolf,1,GL2 9QF,,https://www.chronogolf.com/en/club/19511/widget?medium=widget&source=club
Bristol Golf Club,live,gloucestershire,intelligent_golf,2,BS32 4DQ,,https://golf.bristolgolfclub.co.uk/visitorbooking/
Cirencester Golf Club,live,gloucestershire,brs,1,GL7 7FA,,https://visitors.brsgolf.com/cirencester#/course/1
Cleeve Hill Golf Club,live,gloucestershire,brs,1,GL52 3PR,,https://visitors.brsgolf.com/cleevehillch#/course/1
Forest Hills Golf Club,live,gloucestershire,intelligent_golf,1,GL16 7QB,,https://foresthills.intelligentgolf.co.uk/visitorbooking/
Gloucester Golf Club,live,gloucestershire,brs,1,GL4 6DX,,https://visitors.brsgolf.com/gloucester#/course/1
Lilley Brook Golf Course,live,gloucestershire,clubv1,1,GL53 8EG,,https://lilleybrook.hub.clubv1.com/visitors/TeeSheet?date=2026-09-11
Minchinhampton Golf Club,live,gloucestershire,intelligent_golf,3,GL6 9BE,,https://members.minchinhamptongolfclub.co.uk/visitorbooking/
Naunton Downs Golf Club,live,gloucestershire,brs,1,GL54 3AE,,https://visitors.brsgolf.com/nauntondownsgc#/course/1
Puckrup Hall Hotel & Golf Club,live,gloucestershire,brs,1,GL20 6EL,,https://visitors.brsgolf.com/puckruphall#/course/1
Rodway Hill Golf Club,live,gloucestershire,brs,1,GL2 8DR,,https://visitors.brsgolf.com/rodwayhill#/course/1
Ross-on-Wye Golf Club,live,gloucestershire,intelligent_golf,1,HR9 7UT,,https://rossonwye.intelligentgolf.co.uk/visitorbooking/
Sherdons Golf Centre,live,gloucestershire,intelligent_golf,1,GL20 7BP,,https://sherdons.intelligentgolf.co.uk/visitorbooking/
South Cerney Golf Course,live,gloucestershire,intelligent_golf,1,GL7 5QD,,https://southcerney.intelligentgolf.co.uk/visitorbooking/
South Herefordshire Golf Club,live,gloucestershire,intelligent_golf,1,HR9 7UA,,https://www.south-herefordshiregc.co.uk/visitorbooking/
Stinchcombe Hill Golf Course,live,gloucestershire,clubv1,1,GL11 6AQ,,https://stinchcombehill.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
Thornbury Golf Centre,live,gloucestershire,esp,1,BS35 3XL,,https://www.e-s-p.com/elitelive/book_group.php
Woodlands Golf & Country Club,live,gloucestershire,intelligent_golf,2,BS32 4JZ,,https://woodlands.intelligentgolf.co.uk/visitorbooking/
Altrincham Golf Course,live,greatermanchester,intelligent_golf,1,WA15 7LP,,https://altrincham.intelligentgolf.co.uk/visitorbooking/
Ashton-under-Lyne Golf Club,live,greatermanchester,clubv1,1,OL6 9HT,,https://ashtonunderlyne.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-12
Bramall Park Golf Club,live,greatermanchester,intelligent_golf,1,SK7 3LY,,https://www.bramallparkgolfclub.co.uk/visitorbooking/
Cheadle Golf Club,live,greatermanchester,clubv1,1,SK8 1HU,,https://cheadle.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
Dukinfield Golf Course,live,greatermanchester,brs,1,SK16 5GF,,https://visitors.brsgolf.com/dukinfield#/course/1
Houldsworth Golf Course,live,greatermanchester,clubv1,1,SK5 6BN,,https://houldsworth.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12
Marple Golf Club,live,greatermanchester,brs,1,SK6 7EL,,https://visitors.brsgolf.com/marple#/course/1
Werneth Low Golf Course,live,greatermanchester,brs,1,SK14 3AF,,https://visitors.brsgolf.com/wernethlowgc#/course/1
Withington Golf Club,live,greatermanchester,clubv1,1,M22 4UQ,,https://withington.hub.clubv1.com/
Alton Golf Club,live,hampshire,clubv1,1,GU34 4BU,,https://alton.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-10
Andover Golf Club,live,hampshire,intelligent_golf,1,SP10 2EF,,https://andover.intelligentgolf.co.uk/visitorbooking/
Avington Park Golf Course,live,hampshire,intelligent_golf,1,SO21 1BZ,,https://www.avingtongolf.co.uk/visitorbooking/
Basingstoke Golf Club,live,hampshire,intelligent_golf,1,RG25 2AD,,https://www.basingstokegolfclub.co.uk/visitorbooking/
Bishopswood Golf Course,live,hampshire,intelligent_golf,1,RG26 4AT,,https://www.bishopswood.golf/visitorbooking
Blackwater Valley Golf Centre,live,hampshire,clubv1,1,GU46 7SZ,,https://blackwatervalley.hub.clubv1.com/visitors/TeeSheet?date=2026-09-10
Boundary Lakes Golf Club,live,hampshire,brs,1,SO30 3XH,,https://visitors.brsgolf.com/ageasbowl#/course/1
Bramshaw Golf Course,live,hampshire,chronogolf,2,SO43 7HE,,https://www.chronogolf.com/club/18870/widget?medium=widget&source=club
Burley Golf Club,live,hampshire,intelligent_golf,1,BH24 4BB,,https://burley.intelligentgolf.co.uk/visitorbooking/
Cams Hall Estate Golf Course,live,hampshire,intelligent_golf,5,PO16 8UP,,https://golf.camshallgolf.co.uk/visitorbooking/
East Horton Golf Club,live,hampshire,brs,3,SO50 7EA,,https://visitors.brsgolf.com/easthorton#/course/1
Gosport & Stokes Bay Golf Course,live,hampshire,clubv1,1,PO12 2AT,,https://gsb.hub.clubv1.com/visitors/TeeSheet?date=2026-09-10
Hayling Golf Club,live,hampshire,intelligent_golf,1,PO11 0BX,,https://hayling.intelligentgolf.co.uk/visitorbooking/
